,coc_number,black,hispanic,share_rent,unemployment,share_pa,share_ssi,gini,rent,vacancy,single,veteran,poverty,older,pop_full,pop_pov,homeless,category,homeless_rate_full,homeless_rate_pov,state
51,CA-604,5.45595791,52.75357198,41.99796202,10.32026213,5.884372912,7.611426097,46.45,956,5.257442614,20.04456671,5.910114306,9.330191847,22.40431775,883053,79477,885,Urban,10.02204851,111.35297,CA
52,CA-608,6.442575503,48.4422348,34.23795398,8.590354321,3.41421788,5.669667529,45.47,1311,5.308200876,21.73219424,7.0194839,6.246677186,25.32377566,2383286,146635,2316,Suburban,9.717675512,157.9431923,CA
53,CA-609,8.354543126,52.81474825,40.73573695,8.756627767,5.034148229,7.34404955,44.1,1230,4.307747899,18.71040685,5.914269232,7.522077416,24.020131,2135413,156115,2118,Suburban,9.918456055,135.6692182,CA
54,CA-611,1.749179354,42.4492284,36.74868928,5.901420057,1.972524758,4.277982199,44.76,1705,3.355413497,21.59306261,6.33725111,3.732147105,28.28411814,848112,31219,1308,Urban,15.42249137,418.9756238,CA
55,CA-613,2.547498557,83.79888578,41.62789114,15.2501379,6.087568377,10.69296593,47.68,818,4.63223627,20.01271081,4.255103315,9.606505248,22.70386647,180216,16374,1493,Suburban,82.84503041,911.8114083,CA
56,CA-614,1.870636514,22.38439537,39.2443765,4.556085972,1.75470247,4.404796946,45.38,1385,3.221178322,26.13728078,7.562735435,7.431890044,31.22310849,281455,19720,1095,Suburban,38.90497593,555.2738337,CA
57,CO-500,1.200512953,21.57448511,31.29830124,5.364146809,2.513623814,3.969894988,43.82179457,1008.303301,6.513343555,26.48822083,8.93189031,5.830734826,30.21113626,1729594,97590,3989,Rural,23.06321599,408.7508966,CO
58,CO-503,5.272632196,22.27832157,37.01314564,4.047589181,1.732850546,3.052970476,44.97347693,1330.59733,4.263139778,28.33616301,7.137728481,4.565224902,26.04996512,3099795.182,139424.0825,5317,Urban,17.15274619,381.354491,CO
59,CO-504,6.28958967,16.80789011,36.2362311,6.150242317,2.442191342,3.916662391,43.4,1119,3.89635953,25.26689268,17.14420462,4.706691795,25.40452487,688153,31468,1551,Urban,22.53859244,492.8816576,CO
60,CT-505,10.29633284,14.52986763,33.91168481,6.356938688,4.198928254,4.850587587,46.2138872,1106.13198,6.612863458,29.61542422,6.685556806,4.852310601,31.14332067,2726783.474,127924.1472,3235,Suburban,11.86379495,252.8842343,CT
61,DC-500,46.94199253,10.92421015,58.20767661,7.369651777,3.606187927,5.353296223,52.83,1487,5.959162809,44.1490534,4.813541391,9.201243793,22.64769218,684498,59892,6904,Urban,100.8622377,1152.741602,DC
